ID,Name,Sex,Email,Birthdate,Hire Date,Department,Phone,SSN
426038,Joan Stewart,F,joan.stewart@yahoo.com,11/20/1972,12/30/2009,HR,429-99-6443,216-637-6800
388642,Ruby Rogers,F,ruby.rogers@gmail.com,5/1/1980,8/30/2013,Sales,236-55-0172,423-231-6507
560455,Carolyn Hayes,F,carolyn.hayes@hotmail.co.uk,3/10/1958,7/3/2001,IT,730-28-1350,239-882-8784
477253,Anne Russell,F,anne.russell@ibm.com,7/29/1989,11/24/2013,Sales,456-99-5619,605-635-1306
263480,Daniel Cooper,M,daniel.cooper@yahoo.com,1/1/1990,3/6/2014,IT,181-86-2024,701-510-8162
683826,Roger Roberts,M,roger.roberts@gmail.com,7/7/1969,1/29/2009,Marketing,120-98-6493,206-497-3141
474599,Maria Walker,F,maria.walker@microsoft.com,3/19/1975,10/1/1998,HR,447-27-3175,423-668-5506
335732,Brenda Butler,F,brenda.butler@gmail.com,12/6/1963,8/20/1987,Marketing,282-15-6434,480-814-8284
329752,Lillian Brown,F,lillian.brown@aol.com,5/12/1981,4/13/2015,Marketing,249-99-8821,239-812-9041
893212,Amy Howard,F,amy.howard@aol.com,6/16/1981,6/1/2003,IT,686-24-2843,803-613-3168
621833,Gregory Edwards,M,gregory.edwards@outlook.com,8/31/1993,9/30/2015,Legal,010-94-6817,503-256-9654
456747,Roy Griffin,M,roy.griffin@yahoo.com,5/8/1991,8/23/2012,HR,358-08-7660,219-506-9378
278556,Richard Mitchell,M,richard.mitchell@verizon.net,7/28/1993,8/18/2016,Sales,013-94-5886,205-621-5884
333476,Mary Wilson,F,mary.wilson@sbcglobal.net,12/1/1967,12/22/1991,Legal,198-84-0652,423-937-8660
218791,Aaron Price,M,aaron.price@bp.com,2/10/1969,7/3/1997,Marketing,491-29-5152,219-287-8926
134841,Donna Brown,F,donna.brown@aol.com,9/14/1983,7/17/2013,IT,544-81-5182,212-434-7910
726264,Carl Collins,M,carl.collins@yahoo.com,12/22/1973,6/9/2007,HR,544-81-6171,479-740-7633
766610,Joyce Jenkins,F,joyce.jenkins@aol.com,8/22/1961,5/14/2010,Sales,695-16-6506,262-455-4187
923947,Mary Bryant,F,mary.bryant@verizon.net,6/21/1962,5/20/2004,Sales,491-29-7461,319-827-3516
227922,Amanda Hughes,F,amanda.hughes@rediffmail.com,7/29/1982,4/19/2007,Marketing,311-35-2540,225-544-9700
265813,Jack Campbell,M,jack.campbell@gmail.com,1/4/1985,7/29/2007,Sales,047-15-1537,316-499-5737
247137,Alan Rivera,M,alan.rivera@apple.com,12/11/1978,6/7/2006,Legal,399-31-7149,423-277-6819
407061,Elizabeth Jackson,F,elizabeth.jackson@aol.com,8/15/1964,1/19/2005,IT,660-24-4434,603-568-6118
226714,Nancy Davis,F,nancy.davis@ibm.com,11/14/1983,8/25/2012,IT,224-99-5928,219-610-3067
702813,Ernest Martinez,M,ernest.martinez@gmail.com,11/9/1989,1/24/2016,HR,672-48-7749,479-951-4138
524896,Judy Hernandez,F,judy.hernandez@gmail.com,3/25/1961,12/27/2011,HR,534-71-4481,316-736-6126
363065,Nancy Jones,F,nancy.jones@gmail.com,11/10/1993,10/16/2015,Sales,681-24-3165,212-825-1930
879753,Pamela Wright,F,pamela.wright@aol.com,4/14/1996,6/9/2017,HR,459-99-9201,307-329-8832
958326,Larry Miller,M,larry.miller@shell.com,10/31/1988,2/22/2017,IT,207-84-9482,217-574-9283
447813,Ann Coleman,F,ann.coleman@ibm.com,5/11/1989,11/19/2013,IT,027-92-0557,319-994-4179
525955,Judy Gonzales,F,judy.gonzales@gmail.com,6/17/1959,1/3/1992,IT,029-92-2155,201-640-8645
818384,Peter Washington,M,peter.washington@bp.com,11/6/1982,11/29/2009,Sales,039-74-8867,231-322-0316
971640,Clarence Ross,M,clarence.ross@apple.com,12/13/1960,12/31/2008,IT,372-37-5315,423-772-0118
253573,Sharon Lopez,F,sharon.lopez@gmail.com,5/4/1991,3/7/2014,HR,064-02-2589,304-934-5548
904898,Ann Cooper,F,ann.cooper@exxonmobil.com,12/25/1992,2/15/2017,Marketing,219-89-6310,406-278-6460
515103,Anne Perez,F,anne.perez@sbcglobal.net,5/5/1958,7/28/2003,Sales,594-99-9091,423-837-3338
491943,Nancy Howard,F,nancy.howard@gmail.com,5/5/1961,2/6/1999,IT,035-74-2732,236-973-8086
750173,Antonio Roberts,M,antonio.roberts@hotmail.com,8/27/1995,5/1/2017,HR,281-15-7944,205-267-7304
687017,Frances Watson,F,frances.watson@outlook.com,1/30/1961,8/20/2010,IT,305-37-1946,406-530-8069
241882,Debra Wood,F,debra.wood@hotmail.com,10/30/1969,1/10/1991,IT,342-11-6695,308-646-6219
758872,Henry Jenkins,M,henry.jenkins@hotmail.com,11/6/1984,6/21/2017,IT,499-29-3125,314-731-7135
940922,Melissa Butler,F,melissa.butler@hotmail.com,11/14/1994,2/5/2017,Sales,301-15-9149,308-827-9016
917937,Todd Hall,M,todd.hall@yahoo.com,8/31/1991,5/8/2016,Legal,633-31-1781,240-513-8668
917395,Christopher Nelson,M,christopher.nelson@aol.com,3/29/1960,11/8/1997,HR,120-98-6155,480-946-9780
183071,Andrea Garcia,F,andrea.garcia@aol.com,7/6/1985,4/18/2010,Sales,213-91-6792,219-624-3708
316110,Jeremy Sanchez,M,jeremy.sanchez@hotmail.com,2/5/1965,4/2/2006,Legal,474-55-8883,423-974-2755
293459,Steven Phillips,M,steven.phillips@hotmail.com,9/12/1986,3/27/2015,IT,578-53-9940,225-968-5952
732017,Cynthia Ramirez,F,cynthia.ramirez@btinternet.com,9/22/1982,2/18/2009,Marketing,355-08-4606,406-961-7340
915638,Jason Anderson,M,jason.anderson@gmail.com,1/3/1974,9/21/1999,HR,048-15-7937,217-856-6752
478003,Cynthia White,F,cynthia.white@gmail.com,6/15/1963,3/4/2004,Marketing,364-39-4983,314-593-3092
951225,Margaret Brooks,F,margaret.brooks@gmail.com,6/27/1992,8/26/2016,HR,057-02-6958,303-960-0117
883936,Douglas Flores,M,douglas.flores@gmail.com,4/21/1986,9/10/2009,HR,324-11-6837,303-836-4721
528673,Paul Watson,M,paul.watson@hotmail.com,3/9/1959,6/26/1995,Legal,286-15-9671,270-556-7711
765850,Linda Moore,F,linda.moore@gmail.com,8/18/1991,5/15/2017,IT,286-15-5442,215-793-7095
262382,Cheryl Miller,F,cheryl.miller@ntlworld.com,4/20/1985,7/30/2007,HR,287-15-4772,270-880-3858
870820,Martha Washington,F,martha.washington@aol.com,3/28/1991,3/3/2017,HR,416-67-0297,405-945-0242
806955,William Hernandez,M,william.hernandez@rediffmail.com,7/22/1967,3/21/2000,IT,629-31-9010,239-276-0532
325319,Carolyn Price,F,carolyn.price@yahoo.com,5/30/1976,11/5/2014,Legal,512-33-3410,217-409-4338
623253,Ruby Stewart,F,ruby.stewart@gmail.com,10/23/1968,7/2/2017,HR,007-11-1727,218-445-2369
225925,Paul Cooper,M,paul.cooper@gmail.com,8/12/1991,9/8/2014,Marketing,613-87-0084,210-984-4722
761821,Ernest Washington,M,ernest.washington@msn.com,10/28/1984,1/31/2015,Marketing,178-86-1878,212-596-1659
400173,Dorothy Edwards,F,dorothy.edwards@hotmail.co.uk,1/19/1984,12/31/2013,Sales,543-81-2192,215-902-6888
802554,Ryan Alexander,M,ryan.alexander@shell.com,8/1/1993,8/31/2014,Marketing,017-94-7572,225-395-3347
476433,Lillian Mitchell,F,lillian.mitchell@shaw.ca,10/23/1974,12/7/1999,Marketing,505-59-3960,316-876-1484
533952,Kelly Adams,F,kelly.adams@bp.com,5/23/1975,7/4/2013,Legal,474-55-8101,405-418-0037
623929,Jimmy Howard,M,jimmy.howard@yahoo.com,11/27/1966,12/12/2007,Marketing,610-87-0251,212-855-9316
844177,Margaret Allen,F,margaret.allen@gmail.com,9/8/1981,5/17/2013,Marketing,137-25-8468,216-697-6987
212893,Janet Henderson,F,janet.henderson@ntlworld.com,12/24/1979,12/18/2012,Marketing,018-94-7340,239-769-6347
185032,Eugene Perez,M,eugene.perez@exxonmobil.com,10/6/1979,12/8/2014,HR,192-86-6418,262-472-7112
867084,Deborah Smith,F,deborah.smith@yahoo.com,10/31/1977,3/4/2002,Marketing,173-86-6203,907-279-8694
969964,Janice Parker,F,janice.parker@yahoo.com,1/12/1980,8/23/2016,Marketing,733-26-1976,314-842-5984
158666,Rebecca Stewart,F,rebecca.stewart@gmail.com,8/11/1961,4/10/1983,HR,202-84-8294,209-233-7631
489424,Phillip White,M,phillip.white@gmail.com,3/4/1978,1/5/2016,Sales,447-27-9469,503-668-6592
639892,Jose Hill,M,jose.hill@hotmail.com,10/8/1994,7/9/2016,Legal,171-86-3825,228-245-5000
704709,Harold Nelson,M,harold.nelson@gmail.com,12/24/1984,8/23/2011,HR,456-99-2066,217-555-9216
461593,Nicole Ward,F,nicole.ward@yahoo.com,12/12/1964,1/23/1989,Marketing,196-84-2551,231-761-7861
392491,Theresa Murphy,F,theresa.murphy@gmail.com,12/30/1987,8/3/2010,HR,249-99-8801,907-356-1555
495141,Tammy Young,F,tammy.young@comcast.net,3/22/1979,4/25/2015,HR,771-02-7046,231-290-3075
